entry_idx,entry_time,entry_price,exit_idx,exit_time,exit_price,exit_reason,roi,roi_pct,pnl,minutes_held,max_price,min_price,max_gain_pct,max_loss_pct
24,2026-01-31 20:24:00+00:00,100.82306971440228,144,2026-01-31 22:24:00+00:00,103.94328345699068,TIMEOUT,0.03094741859603082,3.094741859603082,30.94741859603082,120,103.94328345699068,100.414034431575,3.094741859603082,-0.4056961209234499
25,2026-01-31 20:25:00+00:00,100.5292670565659,145,2026-01-31 22:25:00+00:00,103.95271073067217,TIMEOUT,0.034054199083934034,3.4054199083934034,34.05419908393404,120,103.95271073067217,100.414034431575,3.4054199083934034,-0.11462594761190895
26,2026-01-31 20:26:00+00:00,100.5346553816686,146,2026-01-31 22:26:00+00:00,103.7838254538312,TIMEOUT,0.03231890595165903,3.231890595165903,32.31890595165903,120,103.95271073067217,100.414034431575,3.3998777198044796,-0.11997947338225963
27,2026-01-31 20:27:00+00:00,100.414034431575,147,2026-01-31 22:27:00+00:00,103.84700669895864,TIMEOUT,0.03418817187076532,3.418817187076532,34.188171870765316,120,103.95271073067217,100.414034431575,3.524085372257916,0.0
28,2026-01-31 20:28:00+00:00,100.53156938565938,148,2026-01-31 22:28:00+00:00,103.94876009290776,TIMEOUT,0.03399122015234187,3.399122015234187,33.99122015234187,120,103.95271073067217,100.53156938565938,3.4030517636590316,0.0
29,2026-01-31 20:29:00+00:00,100.5509202309904,149,2026-01-31 22:29:00+00:00,104.0076040193989,TIMEOUT,0.03437744558147889,3.437744558147889,34.377445581478895,120,104.0076040193989,100.5509202309904,3.437744558147889,0.0
30,2026-01-31 20:30:00+00:00,100.5778926560055,150,2026-01-31 22:30:00+00:00,104.04833316880166,TIMEOUT,0.03450500324823558,3.4505003248235577,34.505003248235575,120,104.04833316880166,100.5778926560055,3.4505003248235577,0.0
31,2026-01-31 20:31:00+00:00,100.76117303568248,151,2026-01-31 22:31:00+00:00,103.82763503813123,TIMEOUT,0.030432972444285014,3.0432972444285014,30.432972444285014,120,104.04833316880166,100.64292651241028,3.2623281707479803,-0.11735326188621925
32,2026-01-31 20:32:00+00:00,100.64292651241028,152,2026-01-31 22:32:00+00:00,103.76214178490238,TIMEOUT,0.030992891210367062,3.099289121036706,30.992891210367063,120,104.04833316880166,100.64292651241028,3.3836522589309412,0.0
33,2026-01-31 20:33:00+00:00,100.65575832604172,153,2026-01-31 22:33:00+00:00,103.5776787519428,TIMEOUT,0.029028845189725396,2.9028845189725394,29.028845189725395,120,104.04833316880166,100.65575832604172,3.3704726874847974,0.0
161,2026-01-31 22:41:00+00:00,103.28259247895626,281,2026-02-01 00:41:00+00:00,105.53449035880097,TIMEOUT,0.021803266414943324,2.1803266414943323,21.803266414943323,120,106.38959927736327,103.28259247895626,3.008257949218368,0.0
1625,2026-02-01 23:05:00+00:00,98.2058706083802,1697,2026-02-02 00:17:00+00:00,102.1341054327154,TP_HIT,0.03999999999999998,3.9999999999999982,39.99999999999998,72,102.1728069045794,98.2058706083802,4.039408511552565,0.0
1624,2026-02-01 23:04:00+00:00,98.3921405614676,1712,2026-02-02 00:32:00+00:00,102.3278261839263,TP_HIT,0.04000000000000002,4.000000000000002,40.00000000000002,88,102.35863122519132,98.2058706083802,4.03130843692314,-0.18931385375342782
1623,2026-02-01 23:03:00+00:00,98.68611241926584,1713,2026-02-02 00:33:00+00:00,102.63355691603648,TP_HIT,0.0400000000000001,4.00000000000001,40.0000000000001,90,102.7555950198935,98.2058706083802,4.123662895280093,-0.4866356563376894
1626,2026-02-01 23:06:00+00:00,98.5341306892373,1713,2026-02-02 00:33:00+00:00,102.47549591680679,TP_HIT,0.039999999999999994,3.9999999999999996,39.99999999999999,87,102.7555950198935,98.5341306892373,4.284266072200002,0.0
